"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Brooklyn Center","Brooklyn Center","45.0681","-93.3162","United States","US","USA","Minnesota","","31006","1840004022"
"Lakeside","Lakeside","30.1356","-81.7674","United States","US","USA","Florida","","30983","1840029051"
"Saratoga","Saratoga","37.2684","-122.0263","United States","US","USA","California","","30905","1840021572"
"Pueblo West","Pueblo West","38.3551","-104.7266","United States","US","USA","Colorado","","30901","1840018860"
"Greer","Greer","34.9315","-82.2316","United States","US","USA","South Carolina","","30899","1840013502"
"Winter Park","Winter Park","28.5987","-81.3438","United States","US","USA","Florida","","30879","1840015966"
"Nogales","Nogales","31.3624","-110.9336","United States","US","USA","Arizona","","30876.0","1840020823"
"Rochester","Rochester","43.2990","-70.9787","United States","US","USA","New Hampshire","","30797","1840002809"
"Gurnee","Gurnee","42.3708","-87.9392","United States","US","USA","Illinois","","30767","1840011152"
"Los Altos","Los Altos","37.3685","-122.0966","United States","US","USA","California","","30743","1840020328"
"Los Gatos","Los Gatos","37.2302","-121.9560","United States","US","USA","California","","30724","1840021575"
"Aiken","Aiken","33.5304","-81.7270","United States","US","USA","South Carolina","","30721","1840013722"
"Granger","Granger","41.7373","-86.1350","United States","US","USA","Indiana","","30717","1840030079"
"South Kingstown","South Kingstown","41.4458","-71.5441","United States","US","USA","Rhode Island","","30712","1840106244"
"Holladay","Holladay","40.6599","-111.8226","United States","US","USA","Utah","","30709","1840020156"
"Kahului","Kahului","20.8715","-156.4603","United States","US","USA","Hawaii","","30706","1840023232"
"Fair Oaks","Fair Oaks","38.6504","-121.2497","United States","US","USA","California","","30704","1840017580"
"Tewksbury","Tewksbury","42.6120","-71.2278","United States","US","USA","Massachusetts","","30666","1840053490"
"San Luis","San Luis","32.4911","-114.7089","United States","US","USA","Arizona","","30647.0","1840021996"
"Clinton","Clinton","41.8434","-90.2409","United States","US","USA","Iowa","","30642.0","1840000507"
"Butte","Butte","45.9020","-112.6571","United States","US","USA","Montana","","30628.0","1840032850"
"Peru","Peru","41.3490","-89.1368","United States","US","USA","Illinois","","30611.0","1840009273"
"Barstow","Barstow","34.8661","-117.0472","United States","US","USA","California","","30606.0","1840019118"
"Newington","Newington","41.6870","-72.7308","United States","US","USA","Connecticut","","30603","1840035505"
"Nicholasville","Nicholasville","37.8904","-84.5668","United States","US","USA","Kentucky","","30600.0","1840014330"
"Springfield","Springfield","38.7809","-77.1839","United States","US","USA","Virginia","","30556","1840006039"
"Deptford","Deptford","39.8157","-75.1181","United States","US","USA","New Jersey","","30556","1840081679"
"Prairieville","Prairieville","30.3151","-90.9571","United States","US","USA","Louisiana","","30536","1840026029"
"Spanaway","Spanaway","47.0979","-122.4233","United States","US","USA","Washington","","30528","1840018451"
"Smithfield","Smithfield","35.5131","-78.3495","United States","US","USA","North Carolina","","30482.0","1840017795"
"North Tonawanda","North Tonawanda","43.0457","-78.8659","United States","US","USA","New York","","30475","1840000372"
"Spring Valley","Spring Valley","32.7317","-116.9766","United States","US","USA","California","","30439","1840019343"
"Westfield","Westfield","40.6515","-74.3433","United States","US","USA","New Jersey","","30433","1840001096"
"Needham","Needham","42.2814","-71.2411","United States","US","USA","Massachusetts","","30429","1840053553"
"South Riding","South Riding","38.9120","-77.5132","United States","US","USA","Virginia","","30426","1840024507"
"Atascadero","Atascadero","35.4827","-120.6858","United States","US","USA","California","","30418","1840019126"
"North Royalton","North Royalton","41.3138","-81.7452","United States","US","USA","Ohio","","30294","1840003402"
"Texarkana","Texarkana","33.4361","-93.9960","United States","US","USA","Arkansas","","30259","1840015708"
"Opelika","Opelika","32.6621","-85.3772","United States","US","USA","Alabama","","30240","1840005210"
"Garden City","Garden City","37.9754","-100.8528","United States","US","USA","Kansas","","30206.0","1840001669"
"Walnut","Walnut","34.0334","-117.8593","United States","US","USA","California","","30199","1840021875"
"Ballwin","Ballwin","38.5950","-90.5501","United States","US","USA","Missouri","","30181","1840007447"
"Carney","Carney","39.4050","-76.5236","United States","US","USA","Maryland","","30178","1840005678"
"Gloucester","Gloucester","42.6260","-70.6897","United States","US","USA","Massachusetts","","30172","1840000412"
"North Andover","North Andover","42.6713","-71.0865","United States","US","USA","Massachusetts","","30170","1840053536"
"Kerrville","Kerrville","30.0398","-99.1319","United States","US","USA","Texas","","30148.0","1840020908"
"East Liverpool","East Liverpool","40.6333","-80.5677","United States","US","USA","Ohio","","30146.0","1840002783"
"Milford Mill","Milford Mill","39.3444","-76.7668","United States","US","USA","Maryland","","30104","1840031493"
"Madison Heights","Madison Heights","42.5073","-83.1034","United States","US","USA","Michigan","","30050","1840002449"
"Orcutt","Orcutt","34.8668","-120.4269","United States","US","USA","California","","30001","1840019183"
"Winona","Winona","44.0509","-91.6689","United States","US","USA","Minnesota","","29973.0","1840010034"
"Livingston","Livingston","40.7855","-74.3291","United States","US","USA","New Jersey","","29955","1840081749"
"Milton","Milton","41.0090","-76.8506","United States","US","USA","Pennsylvania","","29953.0","1840000845"
"Athens","Athens","39.3269","-82.0987","United States","US","USA","Ohio","","29926.0","1840007355"
"Kent","Kent","41.1490","-81.3610","United States","US","USA","Ohio","","29915","1840008256"
"Chicago Heights","Chicago Heights","41.5101","-87.6347","United States","US","USA","Illinois","","29901","1840007024"
"South Lake Tahoe","South Lake Tahoe","38.9393","-119.9828","United States","US","USA","California","","29890.0","1840021471"
"Lawrenceville","Lawrenceville","33.9525","-83.9928","United States","US","USA","Georgia","","29873","1840014745"
"Rexburg","Rexburg","43.8222","-111.7924","United States","US","USA","Idaho","","29859.0","1840020037"
"North Chicago","North Chicago","42.3172","-87.8596","United States","US","USA","Illinois","","29842","1840008086"
"Fountain","Fountain","38.6888","-104.6829","United States","US","USA","Colorado","","29804","1840020236"
"Highland Park","Highland Park","42.1823","-87.8105","United States","US","USA","Illinois","","29767","1840006973"
"Ukiah","Ukiah","39.1463","-123.2105","United States","US","USA","California","","29637.0","1840021420"
"Somerset","Somerset","37.0816","-84.6089","United States","US","USA","Kentucky","","29633.0","1840015257"
"Crown Point","Crown Point","41.4141","-87.3456","United States","US","USA","Indiana","","29625","1840007091"
"New Iberia","New Iberia","30.0049","-91.8202","United States","US","USA","Louisiana","","29620","1840015053"
"Saratoga Springs","Saratoga Springs","40.3448","-111.9153","United States","US","USA","Utah","","29608","1840021397"
"American Fork","American Fork","40.3793","-111.7951","United States","US","USA","Utah","","29527","1840018756"
"Syracuse","Syracuse","41.0864","-112.0697","United States","US","USA","Utah","","29507","1840021352"
"Glenville","Glenville","42.8869","-73.9925","United States","US","USA","New York","","29506","1840058129"
"Fitchburg","Fitchburg","42.9859","-89.4255","United States","US","USA","Wisconsin","","29485","1840002905"
"Niles","Niles","42.0279","-87.8100","United States","US","USA","Illinois","","29482","1840011301"
